category,n_false,n_true,median_false,median_true,delta_median_true_minus_false
has_aromatic_bond,975,56,0.9968000355118999,0.9947185457794727,-0.0020814897324271664
has_unsaturation,244,787,0.9972381910580593,0.9965670218312468,-0.0006711692268125402
has_double_bond,379,652,0.9971341269635231,0.9965555785674429,-0.0005785483960801807
has_ring,444,587,0.9969376005808929,0.996464097352195,-0.0004735032286978802
fg_alkene_CCdouble,662,369,0.9968721698501263,0.9965007035695161,-0.0003714662806101332
fg_carbonyl_CeqO,782,249,0.9968015148820739,0.9965341370127127,-0.00026737786936126273
has_oxygen_and_nitrogen,634,397,0.9968015148820739,0.9966051694598298,-0.00019634542224411522
has_oxygen,352,679,0.9968418918258856,0.9966749148653058,-0.00016697696057976774
has_nitrogen,357,674,0.9967100798573247,0.9967159072287788,5.8273714540479915e-06
fg_hydroxyl,766,265,0.9966975913145213,0.9967655311304513,6.793981593000709e-05
fg_alkyne_CCtriple,883,148,0.9966884481142683,0.9967692158543575,8.076774008924925e-05
fg_ether,800,231,0.9966831899956903,0.9968000355118999,0.00011684551620960715
has_hetero_N_or_O,75,956,0.9965670218312468,0.9967159072287788,0.0001488853975319948
has_triple_bond,818,213,0.9966717829498202,0.9968395229446436,0.00016773999482344593
fg_nitrile,953,78,0.9967000893623869,0.9969957082209937,0.0002956188586068498
fg_amine_nonamide,578,453,0.9965495253636684,0.9969182078405221,0.00036868247685373223
has_only_single_bonds,787,244,0.9965670218312468,0.9972381910580593,0.0006711692268125402
